tipo_de_propiedad,lugar,lat-lon,precio,moneda,precio_aprox_local,precio_aprox_usd,superficie_total_en_m2,superficie_cubierta_en_m2,precio_por_m2_usd,precio_por_m2,lat,lon
Casa,Gustavo A Madero,"19.492686,-99.097877",1785000,MXN,1769271.77,94067.67,128,128,734.9036719,13945.3125,19.492686,-99.097877
Apartamento,Benito Juárez,"19.384808,-99.155339",1709333,MXN,1693869.81,90058.74,75,75,1200.7832,22791.10667,19.384808,-99.155339
Casa,Iztapalapa,"19.359004,-99.092622",1245000,MXN,1234029.82,65610.22,148,148,443.3122972972973,8412.162162,19.359004,-99.092622
Casa,Miguel Hidalgo,"19.397059,-99.184501",962820,MXN,954110.06,50727.6,100,100,507.276,9628.2,19.397059,-99.184501
Apartamento,Cuauhtémoc,"19.409095,-99.163216",4280000,MXN,4241281.95,225498.15,75,75,3006.642,57066.66667,19.409095,-99.163216
Casa,Tlalpan,"19.300714,-99.12215",2860000,MXN,2834127.6,150683.34,160,160,941.7708749999999,17875,19.300714,-99.12215
Casa,Tlalpan,"19.275756,-99.207832",3710000,MXN,3676438.24,195466.85,354,354,552.1662429378531,10480.22599,19.275756,-99.207832
Apartamento,Cuauhtémoc,"19.4097609,-99.1686282",7000000,MXN,6938320.98,368892.84,165,165,2235.714182,42424.24242,19.4097609,-99.1686282
Apartamento,Gustavo A Madero,"19.473415,-99.143539",1307000,MXN,1295176.44,68861.23,51,51,1350.2201960784314,25627.45098,19.473415,-99.143539
Casa,Gustavo A Madero,"19.4669373,-99.1013994",2210000,MXN,2190527.06,116464.74,12,12,9705.395,184166.6667,19.4669373,-99.1013994
Casa,Magdalena Contreras,"19.304898,-99.241515",8650000,MXN,8573782.5,455846.16,145,235,3143.766621,36808.51064,19.304898,-99.241515
